,bus0,bus1,length,v_nom,num_parallel,project_status,build_year,tags,x0,y0,x1,y1,type,underground
TYNDP2024_1742,SS Subotica 3,SS Sándorfalva,50.6,400.0,,in_planning,2028,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1742"""", """"tyndp2024_invest_id""""=>""""1742""""""",19.717712,46.022714,20.166779,46.296662,,False
TYNDP2024_1743,SS Sombor 3,SS Novi Sad 3,80.0,400.0,,in_planning,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1743"""", """"tyndp2024_invest_id""""=>""""1743""""""",19.176636,45.75411,19.753418,45.525592,,False
TYNDP2024_1744,SS Belgrade 50,SS Sremska Mitrovica 2,60.0,400.0,,in_planning,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1744"""", """"tyndp2024_invest_id""""=>""""1744""""""",19.758911,45.529441,19.607849,45.019185,,False
TYNDP2024_1751,In Malta (MT): Maghtab Terminal Station (Maghtab TS),In Italy (IT): Ragusa Terminal Station (Ragusa TS),122.0,220.0,,in_permitting,2026,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1751"""", """"tyndp2024_invest_id""""=>""""1751""""""",14.452515,35.92242,14.573364,36.835668,,False
TYNDP2024_1752,Mustvee,Paide,87.0,330.0,,under_construction,2026,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1752"""", """"tyndp2024_invest_id""""=>""""1752""""""",26.93601,58.869066,25.178197,58.923718,,False
TYNDP2024_1753,Kiisa,Paide,70.0,330.0,,under_construction,2026,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1753"""", """"tyndp2024_invest_id""""=>""""1753""""""",24.70946,59.234339,25.197742,58.923846,,False
TYNDP2024_1769,Paide,Sopi,66.3,330.0,,in_planning,2028,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1769"""", """"tyndp2024_invest_id""""=>""""1769""""""",25.19928,58.921944,24.863587,58.567263,,False
TYNDP2024_1770,Sopi,Sindi,28.7,330.0,,in_planning,2028,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1770"""", """"tyndp2024_invest_id""""=>""""1770""""""",24.688263,58.379301,24.851532,58.553272,,False
TYNDP2024_1771,Rakvere,Kiisa,107.8,330.0,,in_planning,2029,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1771"""", """"tyndp2024_invest_id""""=>""""1771""""""",24.688721,59.241915,26.498108,59.444265,,False
TYNDP2024_1774,Püssi,Rakvere,57.7,330.0,,in_planning,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1774"""", """"tyndp2024_invest_id""""=>""""1774""""""",26.513049,59.446245,26.81619,59.424519,,False
TYNDP2024_1766,Hradec,Röhrsdorf,81.5,400.0,,in_permitting,2028,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1766"""", """"tyndp2024_invest_id""""=>""""1766""""""",13.328407,50.344891,13.209343,50.526349,,False
TYNDP2024_1768,Bickigen,Chippis,1.0,380.0,,in_permitting,2027,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1768"""", """"tyndp2024_invest_id""""=>""""1768""""""",7.640991,47.085085,7.553101,46.31279,,False
TYNDP2024_1772,Bauler (DE),Roost (LU),27.8,220.0,,commissioned,2022,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1772"""", """"tyndp2024_invest_id""""=>""""1772""""""",6.255473,49.990191,6.169955,49.884526,,False
TYNDP2024_1773,German Border,Bauler (DE),20.3,220.0,,in_planning,2025,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1773"""", """"tyndp2024_invest_id""""=>""""1773""""""",6.256722,49.990873,6.528259,49.965181,,False
TYNDP2024_1805,Hessenberg (AT),Weißenbach (AT),71.0,220.0,,in_planning,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1805"""", """"tyndp2024_invest_id""""=>""""1805""""""",14.17099,47.560209,14.794464,47.323363,,False
TYNDP2024_1860,Suceava,Balti,148.0,400.0,,in_permitting,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1860"""", """"tyndp2024_invest_id""""=>""""1860""""""",26.339722,47.698672,27.905273,47.743017,,False
TYNDP2024_1983,400kV Suceava (RO),400kV Gadalin (RO),258.8,400.0,,in_planning,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1983"""", """"tyndp2024_invest_id""""=>""""1983""""""",23.900757,46.843286,26.339722,47.698672,,False
TYNDP2024_1997,Aracthos,Thesprotia,65.0,400.0,,in_planning,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1997"""", """"tyndp2024_invest_id""""=>""""1997""""""",20.363159,39.436193,21.137695,39.279042,,False
TYNDP2024_1988,Fier,Thesprotia,170.0,400.0,,in_planning,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1988"""", """"tyndp2024_invest_id""""=>""""1988""""""",20.382385,39.43195,19.550171,40.709792,,False
TYNDP2024_1947,Annaba,Tougourt,600.0,400.0,,under_consideration,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1947"""", """"tyndp2024_invest_id""""=>""""1947""""""",7.976074,36.862043,6.174316,33.008663,,False
TYNDP2024_1948,De Jebil (Tunisia),Marsa Dhib (Tunisia),500.0,400.0,,under_consideration,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1948"""", """"tyndp2024_invest_id""""=>""""1948""""""",9.30542,37.186579,9.975586,33.440609,,False
TYNDP2024_1974,Bofferdange,Bertrange,20.0,380.0,,in_planning,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1974"""", """"tyndp2024_invest_id""""=>""""1974""""""",6.061066,49.633752,6.266144,49.715275,,False
TYNDP2024_2004,Reitdorf (AT),Weißenbach (AT),73.0,220.0,,in_permitting,2028,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/2004"""", """"tyndp2024_invest_id""""=>""""2004""""""",14.180728,47.557825,13.032157,47.300315,,False
TYNDP2024_2007,Sajóivánka (HU),Rimavska Sobotá (SK),51.057,400.0,,under_consideration,2027,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/2007"""", """"tyndp2024_invest_id""""=>""""2007""""""",20.902738,48.099761,19.955916,48.380467,,False
TYNDP2024_2017,Mukacheve (UA),Velké Kapušany (SK),52.0,400.0,,in_permitting,2026,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/2017"""", """"tyndp2024_invest_id""""=>""""2017""""""",-697.220764,48.422321,-698.021851,48.595186,,False
TYNDP2024_2022,Artsyz (UA),Isaccea (RO),130.0,400.0,,in_planning,2028,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/2022"""", """"tyndp2024_invest_id""""=>""""2022""""""",29.421387,45.957624,28.44223,45.234661,,False
